epoch,accuracy,loss,val_accuracy,val_loss
0,0.6905298829078674,1.276157259941101,0.5707720518112183,1.6336523294448853
1,0.8875422477722168,0.5451856255531311,0.40349265933036804,2.664999008178711
2,0.909808337688446,0.4217233657836914,0.8079044222831726,0.7745833992958069
3,0.9405298829078674,0.31627511978149414,0.6167279481887817,1.5374928712844849
4,0.9546223282814026,0.24634502828121185,0.7729779481887817,0.8979249596595764
5,0.9636414647102356,0.20852896571159363,0.8520220518112183,0.6815896034240723
6,0.9664599895477295,0.18548060953617096,0.828125,0.6833630204200745
7,0.9771702289581299,0.1473105549812317,0.8097426295280457,0.7353814840316772
8,0.977477490901947,0.13454438745975494,0.8777573704719543,0.5112420916557312
9,0.979706883430481,0.1356249749660492,0.875,0.49669361114501953
10,0.9794250130653381,0.12467151135206223,0.845588207244873,0.6321340203285217
11,0.9788613319396973,0.11529930680990219,0.90625,0.39058583974838257
12,0.9844983220100403,0.10053939372301102,0.8409926295280457,0.6434372067451477
13,0.985625684261322,0.09344293922185898,0.8639705777168274,0.5184626579284668
14,0.9873167872428894,0.08231319487094879,0.920036792755127,0.31220564246177673
15,0.9929617047309875,0.06652915477752686,0.9145220518112183,0.3565938174724579
16,0.9923900961875916,0.06473759561777115,0.921875,0.2694990038871765
17,0.9935174584388733,0.05803337320685387,0.8915441036224365,0.41390421986579895
18,0.9954904317855835,0.05127687379717827,0.9347426295280457,0.2833026349544525
19,0.9921082258224487,0.06002919003367424,0.9246323704719543,0.2978300452232361
